3912	Con phải đạt trên 90% mới qua bài kiểm tra và thành chuyên gia Hệ Mặt Trời!
3913	1. Hành tinh càng <b>xa</b> Mặt Trời thì nhiệt độ càng <b>thấp</b>.<br><font color="#3bb0de">%1</font>
3914	2. Một năm trên hành tinh <b>càng dài khi càng đi xa Mặt Trời</b>.<br><font color="#3bb0de">%1</font>
3915	3. Cứ nhớ câu này là thuộc thứ tự các hành tinh, để ý chữ đầu mỗi từ - <b>Thuỷ</b> <b>Kim</b> <b>Địa</b> <b>Hoả</b> <b>Mộc</b> <b>Thổ</b> <b>Thiên</b> <b>Hải</b>.<br>
3916	Gợi ý
3917	Xem Hệ Mặt Trời
3923	<b>Động cơ</b>
3924	Phím D hoặc mũi tên phải: tăng tốc độ
3925	Phím A hoặc mũi tên trái: giảm tốc độ
3926	<b>Khoang dằn</b>
3927	Phím W hoặc mũi tên lên: bật tắt việc bơm nước vào khoang dằn giữa
3928	Phím S hoặc mũi tên xuống: bật tắt việc xả nước khỏi khoang dằn giữa
3929	Phím R: bật tắt việc bơm nước vào khoang dằn trái
3930	Phím F: bật tắt việc xả nước khỏi khoang dằn trái
3931	Phím T: bật tắt việc bơm nước vào khoang dằn phải
3932	Phím G: bật tắt việc xả nước khỏi khoang dằn phải
3933	<b>Cánh lặn</b>
3934	Phím +: tăng góc cánh lặn
3935	Phím -: giảm góc cánh lặn
3936	Khoang dằn trái
3937	Khoang dằn giữa
3938	Khoang dằn phải
3939	Đưa tàu ngầm sang phía bên kia màn hình.
3940	Món ngoài cùng bên trái trên bảng điều khiển là động cơ tàu ngầm, cho biết tốc độ hiện tại của tàu.
3941	Dùng động cơ để tăng hoặc giảm tốc độ tàu ngầm.
3942	Bấm nút + để tăng tốc, bấm nút - để giảm tốc.
3943	Món bên cạnh động cơ là khoang dằn.
3944	Khoang dằn dùng để cho tàu nổi lên hay lặn xuống.
3945	Khoang dằn rỗng thì tàu nổi. Khoang dằn đầy nước thì tàu lặn xuống.
3946	Mở hoặc đóng van phía trên sẽ cho nước chảy vào hay ngừng chảy vào khoang dằn, nhờ đó tàu lặn xuống được.
3947	Mở hoặc đóng van phía dưới sẽ cho nước xả ra hay ngừng xả khỏi khoang dằn, nhờ đó tàu nổi lên mặt nước được.
3948	Món ngoài cùng bên phải trên bảng điều khiển là cánh lặn của tàu ngầm.
3949	Cánh lặn dùng để chỉnh độ sâu của tàu thật chính xác khi tàu đã ở dưới nước.
3950	Khi tàu đang chạy dưới nước, tăng hay giảm góc cánh lặn sẽ làm tàu sâu thêm hoặc nông đi.
3951	Nút + làm tàu lặn sâu hơn, còn nút - làm tàu nổi lên nông hơn.
3952	Lấy chiếc vương miện để mở cổng.
3953	Xem menu trợ giúp để biết các phím điều khiển.
3959	Lưới nhỏ dùng ký hiệu.
3960	Lưới vừa dùng ký hiệu.
3961	Lưới vừa dùng cả số lẫn ký hiệu.
3962	Lưới lớn dùng số.
3967	Món này đặt đúng chỗ rồi.
3968	Món này đặt sai chỗ.
3978	Giá trị lớn nhất: 10.
3979	Giá trị lớn nhất: 50.
3980	Giá trị lớn nhất: 500.
3981	Giá trị lớn nhất: 5000.
3982	Giá trị lớn nhất: 50000.
3988	Ghép 1 cặp từ 3 con số.
3989	Ghép 2 cặp từ 5 con số.
3994	Điền xong hết các dòng thì bấm nút Đồng ý để kiểm tra. Nếu có câu sai, dấu chéo sẽ hiện ở dòng tương ứng. Muốn sửa thì bấm vào những số sai để xoá đi rồi làm lại các bước trên.
3996	Số thứ nhất từ 1 tới 4.
3997	Số thứ nhất từ 5 tới 9.
3998	Tìm cả hai số.
4004	Ghép 2 cặp từ 4 con số.
4005	Ghép 3 cặp từ 6 con số.
4011	Kết quả từ 11 tới 19.
4012	Kết quả từ 20 tới 29.
4013	Kết quả từ 30 tới 50.
4018	Cấp càng cao thì Tux chơi càng giỏi.
4029	Giải phép cộng, 2 chữ số, 2 hàng, không nhớ.
4030	Giải phép cộng, 4 chữ số, 3 hàng.
4031	Giải phép cộng, 4 chữ số, 4 hàng.
4032	Tự viết phép cộng của con rồi giải.
4033	Viết rồi giải phép cộng, 2 chữ số, 2 hàng, không nhớ.
4034	Giải phép cộng, 2 chữ số, 2 hàng.
4035	Viết rồi giải phép cộng, 2 chữ số, 2 hàng.
4036	Viết rồi giải phép cộng, 2 chữ số, 3 hàng.
4037	Giải phép cộng, 3 chữ số, 2 hàng.
4038	Viết rồi giải phép cộng, 3 chữ số, 2 hàng.
4039	Giải phép cộng, 3 chữ số, 3 hàng.
